epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,28.584,0.43678,0.96517,1,0.13223,0.000544553,0.000544553,0.000544553
2,56.6471,0.17983,0.92537,1,0.20919,0.00107844,0.00107844,0.00107844
3,85.5567,0.20846,0.91045,1,0.26515,0.00159031,0.00159031,0.00159031
4,113.341,0.23171,0.92537,1,0.35591,0.00156798,0.00156798,0.00156798
5,142.052,0.20285,0.93035,1,0.13446,0.00153497,0.00153497,0.00153497
6,171.697,0.15359,0.94527,1,0.09893,0.00150197,0.00150197,0.00150197
7,200.892,0.15427,0.93532,1,0.13447,0.00146896,0.00146896,0.00146896
8,228.428,0.12905,0.9403,1,0.14992,0.00143595,0.00143595,0.00143595
9,257.889,0.12684,0.95025,1,0.09719,0.00140295,0.00140295,0.00140295
10,292.41,0.10646,0.9403,1,0.15239,0.00136994,0.00136994,0.00136994
11,325.307,0.10939,0.95522,1,0.11212,0.00133693,0.00133693,0.00133693
12,355.283,0.11209,0.9403,1,0.24223,0.00130393,0.00130393,0.00130393
13,387.023,0.09465,0.9403,1,0.16314,0.00127092,0.00127092,0.00127092
14,421.551,0.09644,0.93532,1,0.1547,0.00123791,0.00123791,0.00123791
15,452.67,0.08719,0.93035,1,0.15928,0.00120491,0.00120491,0.00120491
16,481.638,0.08861,0.91542,1,0.17471,0.0011719,0.0011719,0.0011719
17,510.199,0.06781,0.93035,1,0.21484,0.00113889,0.00113889,0.00113889
18,538.631,0.06708,0.93035,1,0.30584,0.00110589,0.00110589,0.00110589
19,566.555,0.04469,0.92537,1,0.15496,0.00107288,0.00107288,0.00107288
20,594.912,0.07411,0.92537,1,0.143,0.00103987,0.00103987,0.00103987
21,623.926,0.05394,0.95025,1,0.15651,0.00100687,0.00100687,0.00100687
22,652.642,0.06568,0.96517,1,0.10646,0.000973861,0.000973861,0.000973861
23,681.271,0.0495,0.95025,1,0.14545,0.000940855,0.000940855,0.000940855
24,710.017,0.07189,0.9403,1,0.19668,0.000907848,0.000907848,0.000907848
25,738.722,0.05272,0.93532,1,0.22224,0.000874842,0.000874842,0.000874842
26,767.41,0.05928,0.94527,1,0.20189,0.000841835,0.000841835,0.000841835
27,795.725,0.05359,0.93035,1,0.19612,0.000808828,0.000808828,0.000808828
28,824.191,0.07339,0.95522,1,0.13163,0.000775822,0.000775822,0.000775822
29,852.559,0.03373,0.9602,1,0.10578,0.000742815,0.000742815,0.000742815
30,881.444,0.02625,0.94527,1,0.1827,0.000709809,0.000709809,0.000709809
31,909.803,0.05695,0.97015,1,0.13811,0.000676802,0.000676802,0.000676802
32,938.238,0.02134,0.95025,1,0.11869,0.000643795,0.000643795,0.000643795
33,967.187,0.02876,0.95522,1,0.1334,0.000610789,0.000610789,0.000610789
34,995.957,0.03616,0.95025,1,0.12598,0.000577782,0.000577782,0.000577782
35,1024.81,0.02309,0.9403,1,0.11242,0.000544776,0.000544776,0.000544776
36,1052.8,0.02862,0.93532,1,0.12033,0.000511769,0.000511769,0.000511769
37,1081.13,0.02568,0.95522,1,0.13955,0.000478762,0.000478762,0.000478762
38,1108.82,0.03566,0.95522,1,0.16543,0.000445756,0.000445756,0.000445756
39,1136.81,0.03255,0.9403,1,0.18654,0.000412749,0.000412749,0.000412749
40,1164.74,0.03203,0.95522,1,0.20961,0.000379743,0.000379743,0.000379743
41,1193.08,0.01692,0.95522,1,0.19399,0.000346736,0.000346736,0.000346736
42,1221.27,0.02331,0.95522,1,0.19414,0.000313729,0.000313729,0.000313729
43,1249.32,0.01857,0.93532,1,0.2622,0.000280723,0.000280723,0.000280723
44,1277.71,0.02212,0.93532,1,0.14456,0.000247716,0.000247716,0.000247716
45,1306.4,0.01787,0.93532,1,0.16998,0.00021471,0.00021471,0.00021471
46,1334.44,0.02399,0.9403,1,0.1569,0.000181703,0.000181703,0.000181703
47,1363.12,0.01511,0.93532,1,0.20923,0.000148696,0.000148696,0.000148696
48,1391.63,0.01927,0.9403,1,0.13232,0.00011569,0.00011569,0.00011569
49,1422.09,0.01083,0.93532,1,0.20341,8.26832e-05,8.26832e-05,8.26832e-05
50,1451.62,0.02161,0.94527,1,0.13325,4.96766e-05,4.96766e-05,4.96766e-05
